주소,병원구분,병원구분2,응급의료기관코드,코드명,응급실운영여부,위도,경도
"서울특별시 종로구 종로 237 (종로5가, 서울보화당)",G,한의원,G099,응급의료기관 이외,2,37.5713148175,127.004210942
"서울특별시 금천구 가산디지털1로 186, 제이플라츠 401~402호 (가산동)",C,의원,G099,응급의료기관 이외,2,37.48191218821725,126.88158303434446
"서울특별시 금천구 탑골로3가길 22, 전진상사회복지관 (시흥동)",C,의원,G099,응급의료기관 이외,2,37.45258647887733,126.91073371515574
서울특별시 종로구 세종대로23길 54 (당주동),C,의원,G099,응급의료기관 이외,2,37.57177720368869,126.97288273130737
"서울특별시 성북구 고려대로 73, 고려대병원 (안암동5가)",A,종합병원,G001,권역응급의료센터,1,37.58715608002366,127.02647086385966
"서울특별시 중구 세종대로11길 42, 4층 (서소문동, 부림빌딩)",G,한의원,G099,응급의료기관 이외,2,37.5622695504,126.9736191486
"서울특별시 강남구 도산대로 452, JS빌딩 3층 (청담동)",C,의원,G099,응급의료기관 이외,2,37.5236304940728,127.045733608353
"서울특별시 강남구 도산대로 111 (신사동, S-TOWER 11~12층)",C,의원,G099,응급의료기관 이외,2,37.51696119400697,127.02069103447019
"서울특별시 강남구 삼성로 212  (대치동, 은마아파트)",C,의원,G099,응급의료기관 이외,2,37.49532386804385,127.06396077335484
"서울특별시 송파구 올림픽로 300, 4층 (신천동)",N,치과의원,G099,응급의료기관 이외,2,37.51356451566941,127.10404375051164
"서울특별시 송파구 송파대로 437, 석촌동174-10덕일빌딩6층 (석촌동)",N,치과의원,G099,응급의료기관 이외,2,37.50510429697652,127.10593672336827
"서울특별시 중랑구 동일로 634, 덕천빌딩 3층 (면목동)",C,의원,G099,응급의료기관 이외,2,37.58706583460683,127.08022403657446
"서울특별시 강남구 테헤란로87길 13, 서영빌딩 7층 (삼성동)",C,의원,G099,응급의료기관 이외,2,37.5086340085,127.0585916918
"서울특별시 영등포구 신길로 157, 2층 (신길동)",N,치과의원,G099,응급의료기관 이외,2,37.5063623733459,126.9108325857179
"서울특별시 강북구 솔샘로 231, 2층 (미아동)",N,치과의원,G099,응급의료기관 이외,2,37.6201724247,127.0183952752
"서울특별시 송파구 백제고분로 365, 지하1층 105호 (석촌동, 태문빌딩)",N,치과의원,G099,응급의료기관 이외,2,37.505330555555553,127.106049999999996
"서울특별시 양천구 목동동로 150, 목동 블루스퀘어 2층 일부,4~6층 (신정동)",C,의원,G099,응급의료기관 이외,2,37.5189418545223,126.870471203827
"서울특별시 은평구 갈현로 24, 2층 201,202호 (신사동)",E,한방병원,G099,응급의료기관 이외,2,37.60003699526221,126.91042648421339
"서울특별시 서초구 강남대로 331, 2001호 (서초동)",C,의원,G099,응급의료기관 이외,2,37.492624947,127.0295903817
"서울특별시 강남구 봉은사로 108, 2층 (역삼동)",C,의원,G099,응급의료기관 이외,2,37.5045335804,127.0255914666
"서울특별시 마포구 월드컵북로 396, 누리꿈스퀘어 지하층 B1095호 (상암동)",C,의원,G099,응급의료기관 이외,2,37.5794413686,126.8903224924
"서울특별시 광진구 능동로 90, 3층 (자양동, 더클래식500)",C,의원,G099,응급의료기관 이외,2,37.538347952773776,127.07092572730275
"서울특별시 양천구 목동동로 233-1, 109호 (목동, 현대드림타워)",C,의원,G099,응급의료기관 이외,2,37.52748536314731,126.87156907636813
"서울특별시 송파구 백제고분로 187, 2층 205,206호 (잠실동, 파크인수)",C,의원,G099,응급의료기관 이외,2,37.50474520662763,127.08778118676908
"서울특별시 노원구 동일로 1392, 6층 (상계동, 한일빌딩)",C,의원,G099,응급의료기관 이외,2,37.6530546912153,127.06132496680801
서울특별시 중랑구 사가정로 395 (면목동),C,의원,G099,응급의료기관 이외,2,37.58086453528852,127.08870826635981
"서울특별시 강서구 양천로 35, 1~6층 (방화동)",D,요양병원,G099,응급의료기관 이외,2,37.5729710599,126.8076916239
"서울특별시 성북구 길음로9길 50, 상가동 1층 212호 (길음동, 길음뉴타운)",G,한의원,G099,응급의료기관 이외,2,37.6026965054255,127.020948040998
"서울특별시 강서구 등촌로 3, 부경빌딩 302층 (화곡동)",G,한의원,G099,응급의료기관 이외,2,37.53028387385333,126.86353620086157
"서울특별시 종로구 종로 111, 2층 (종로3가)",G,한의원,G099,응급의료기관 이외,2,37.570568428176635,126.98980328316065
"서울특별시 강서구 수명로 78, 새롬프라자 4층 402,403호 (내발산동)",G,한의원,G099,응급의료기관 이외,2,37.553023093214094,126.82633891178446
"서울특별시 송파구 위례서로 248, 3층 일부, 4층 (거여동)",E,한방병원,G099,응급의료기관 이외,2,37.4866427532962,127.142262855079
"서울특별시 성동구 왕십리광장로 17, 왕십리민자역사 4층 (행당동)",C,의원,G099,응급의료기관 이외,2,37.56144094138514,127.038396004898
"서울특별시 서초구 강남대로 435, 주류성빌딩 14층 (서초동)",C,의원,G099,응급의료기관 이외,2,37.5011776111829,127.025561030522
"서울특별시 동대문구 천호대로 3, 지하1,지상1~2층 (신설동)",E,한방병원,G099,응급의료기관 이외,2,37.5753483891625,127.024344406042
"서울특별시 강북구 삼양로 241, 3층 (미아동)",C,의원,G099,응급의료기관 이외,2,37.625117099089294,127.0180340011835
"서울특별시 송파구 송이로32길 37, 1층 (문정동, 문정푸르지오아파트)",C,의원,G099,응급의료기관 이외,2,37.48700275499059,127.1272082746992
"서울특별시 동작구 남부순환로 2055, 2층 (사당동)",C,의원,G099,응급의료기관 이외,2,37.47688761515663,126.97708605641698
"서울특별시 관악구 은천로 37, 2층 (봉천동)",C,의원,G099,응급의료기관 이외,2,37.48634939330899,126.93957138449802
"서울특별시 관악구 신림로 350, 3층 302호 (신림동, 서원프라자,태영아파트)",C,의원,G099,응급의료기관 이외,2,37.48550794366903,126.92994773502872
"서울특별시 동작구 사당로 293, 1층 (사당동)",G,한의원,G099,응급의료기관 이외,2,37.4849562418105,126.980071951625
"서울특별시 성북구 보국문로 51, 2층 (정릉동, 안진빌딩)",G,한의원,G099,응급의료기관 이외,2,37.60910933232954,127.00954962952747
"서울특별시 강서구 양천로 424, 가양역 데시앙플렉스 지식산업센터 2층 236~240호 (등촌동)",C,의원,G099,응급의료기관 이외,2,37.5642277147695,126.847971033372
"서울특별시 성북구 길음로 33, A동상가동 지하1층 1호,2-1호 (길음동, 길음뉴타운8단지아파트)",C,의원,G099,응급의료기관 이외,2,37.605025219484475,127.0222141945761
"서울특별시 은평구 통일로 626, 유림빌딩 2층 (녹번동)",G,한의원,G099,응급의료기관 이외,2,37.602472019451,126.935407233318
"서울특별시 노원구 동일로 1343, 동일프라자빌딩 201,202,203호 (상계동)",G,한의원,G099,응급의료기관 이외,2,37.648495375776186,127.0619784620934
"서울특별시 중랑구 망우로 463, 2층 (망우동)",C,의원,G099,응급의료기관 이외,2,37.60065977959886,127.10363889009444
"서울특별시 구로구 도림로26길 10, 해맑은미소 5,6층 (구로동)",G,한의원,G099,응급의료기관 이외,2,37.49097394017596,126.89426489854021
"서울특별시 양천구 등촌로 2, 202호 (목동)",C,의원,G099,응급의료기관 이외,2,37.530324503,126.8643914298
"서울특별시 서초구 강남대로 437, 대원빌딩 3층 (서초동)",C,의원,G099,응급의료기관 이외,2,37.5013634093685,127.025511220431
"서울특별시 서초구 서초중앙로 126, 서울365mc병원 지하1층, 2~13층 (서초동)",B,병원,G099,응급의료기관 이외,2,37.49299181617478,127.01411678905096
"서울특별시 강동구 천호대로 1034, 3층 301호 (성내동, 탑 메디칼센타)",C,의원,G099,응급의료기관 이외,2,37.537181130026255,127.12673670999895
"서울특별시 영등포구 영중로 6, 11~13층 (영등포동3가, 영등포키스톤타워)",C,의원,G099,응급의료기관 이외,2,37.5169621597,126.906652812
"서울특별시 성북구 아리랑로 3, 5층 (동소문동6가, 기업은행)",C,의원,G099,응급의료기관 이외,2,37.59302412520001,127.0161738073
"서울특별시 마포구 신촌로 92, 7,10층 (노고산동)",C,의원,G099,응급의료기관 이외,2,37.555173127860506,126.93566460053301
"서울특별시 강남구 도산대로 116, 논현빌딩 2,3층 (논현동)",C,의원,G099,응급의료기관 이외,2,37.516605690807,127.021515994744
"서울특별시 성동구 왕십리로 410, L동 3층 320호 (하왕십리동, 센트라스)",C,의원,G099,응급의료기관 이외,2,37.5665912196,127.0240823503
"서울특별시 강남구 도곡로 405, 삼환 아르누보2 204호 (대치동)",C,의원,G099,응급의료기관 이외,2,37.49736971509999,127.05467012680002
"서울특별시 노원구 한글비석로 77, 3층 (하계동)",C,의원,G099,응급의료기관 이외,2,37.63755987263927,127.07046668921342
"서울특별시 강동구 올림픽로 664, 3층 (천호동, 대우한강베네시티)",C,의원,G099,응급의료기관 이외,2,37.5407188164817,127.12465161153011
"서울특별시 영등포구 선유로 138, 롯데마트 양평점 (양평동3가)",C,의원,G099,응급의료기관 이외,2,37.5260658911576,126.891572019703
"서울특별시 중랑구 봉우재로14길 23, 거흥빌딩 2층 (면목동)",G,한의원,G099,응급의료기관 이외,2,37.5895069499,127.0784014508
"서울특별시 관악구 양녕로 58, 302호 (봉천동, 고은빌딩)",G,한의원,G099,응급의료기관 이외,2,37.487311648799995,126.9470377837
"서울특별시 송파구 가락로36길 5 (방이동,2층)",G,한의원,G099,응급의료기관 이외,2,37.509886368,127.1186783044
"서울특별시 은평구 진관3로 11, 208호, 301호 (진관동, 은평뉴타운 힐데스하임)",C,의원,G099,응급의료기관 이외,2,37.6394626951,126.9182694286
"서울특별시 영등포구 양평로 127, 501호 (양평동5가, 기독교복음방송)",G,한의원,G099,응급의료기관 이외,2,37.5377821856,126.8934973319
"서울특별시 은평구 진관3로 11, 208호, 301호 (진관동, 은평뉴타운 힐데스하임)",C,의원,G099,응급의료기관 이외,2,37.6394630545503,126.918268068589
"서울특별시 강남구 강남대로118길 12, 부경빌딩 5층 (논현동)",C,의원,G099,응급의료기관 이외,2,37.5063118920787,127.024757288909
"서울특별시 영등포구 문래로 79-4, 태양프라자 4층 (문래동3가)",G,한의원,G099,응급의료기관 이외,2,37.5198097653579,126.890966268804
"서울특별시 강동구 동남로75길 29, 세종프라자 203호 (명일동)",G,한의원,G099,응급의료기관 이외,2,37.554156377051,127.154528830061
"서울특별시 광진구 면목로 174, 2층 (중곡동)",C,의원,G099,응급의료기관 이외,2,37.5686728406,127.0829843132
"서울특별시 강북구 도봉로 333, 8층 (수유동, 정우빌딩)",C,의원,G099,응급의료기관 이외,2,37.637870175299476,127.02505251141816
"서울특별시 송파구 송파대로 345, 1A동 4층 4009호 (가락동, 헬리오시티)",G,한의원,G099,응급의료기관 이외,2,37.49761537952875,127.10253282307022
"서울특별시 성북구 도봉로 23, 2층 (길음동)",G,한의원,G099,응급의료기관 이외,2,37.61138720232821,127.03003151053557
"서울특별시 양천구 신월로38길 2, 1층 (신정동)",G,한의원,G099,응급의료기관 이외,2,37.5215700499,126.8610136132
"서울특별시 강동구 천호대로 1087, 2층 201호 (천호동, 진넥스빌Ⅲ)",C,의원,G099,응급의료기관 이외,2,37.53616270089999,127.13268644569999
"서울특별시 양천구 목동동로 293, 현대41타워 403호 (목동)",C,의원,G099,응급의료기관 이외,2,37.5281783139269,126.875771989415
"서울특별시 양천구 목동동로 293, 현대41타워 406,407호 (목동)",C,의원,G099,응급의료기관 이외,2,37.52817822371467,126.87577187643134
"서울특별시 양천구 목동동로 293, 현대41타워 504,505호 (목동)",C,의원,G099,응급의료기관 이외,2,37.52817822371467,126.87577187643134
"서울특별시 강남구 강남대로84길 6, 5층 (역삼동)",C,의원,G099,응급의료기관 이외,2,37.4964204469719,127.02919484054
"서울특별시 성동구 행당로 107, 2층 (행당동)",G,한의원,G099,응급의료기관 이외,2,37.55804819244818,127.03087023789855
"서울특별시 강남구 논현로 707, 4월 31일 빌딩 지하1층 일부, 2~3층 (논현동)",C,의원,G099,응급의료기관 이외,2,37.5110359761,127.0218883252
서울특별시 강남구 강남대로 548  (논현동),N,치과의원,G099,응급의료기관 이외,2,37.51102679394212,127.02190771409161
"서울특별시 강남구 논현로 822, 로뎀빌딩 4,5,6층 (신사동)",C,의원,G099,응급의료기관 이외,2,37.5217781452,127.0284480419
"서울특별시 서초구 서초대로 286, 2층 202호 (서초동, 서초프라자)",N,치과의원,G099,응급의료기관 이외,2,37.4931757459,127.0130357853
"서울특별시 영등포구 도림로 144, 88월드타워 4층 (대림동)",C,의원,G099,응급의료기관 이외,2,37.493335973391,126.89821279355
"서울특별시 강서구 방화동로 40, 2층 (공항동)",C,의원,G099,응급의료기관 이외,2,37.5640509513824,126.811268489685
"서울특별시 노원구 동일로192길 74, 201,202호 (공릉동, 우은빌딩)",C,의원,G099,응급의료기관 이외,2,37.6270749214328,127.077095445749
"서울특별시 구로구 구로중앙로 68, 3층 일부호 (구로동, 신안타워)",C,의원,G099,응급의료기관 이외,2,37.495860314768,126.888807280468
"서울특별시 서초구 서초중앙로 125, 4층 408호 (서초동, 로이어즈타워)",G,한의원,G099,응급의료기관 이외,2,37.4930099175,127.0134202253
서울특별시 성동구 왕십리로 269 (행당동),B,병원,G099,응급의료기관 이외,2,37.5586048975,127.0374800703
"서울특별시 은평구 연서로 265, 4층 (불광동)",C,의원,G099,응급의료기관 이외,2,37.6205082038546,126.924071579646
"서울특별시 서초구 효령로 279, 7층 (서초동)",G,한의원,G099,응급의료기관 이외,2,37.484940331,127.01476653939998
서울특별시 도봉구 노해로 341 (창동),G,한의원,G099,응급의료기관 이외,2,37.6514435316,127.04591227599998
"서울특별시 송파구 양재대로 932, 청과물동 3층 (가락동, 가락농수산물시장)",N,치과의원,G099,응급의료기관 이외,2,37.49390576932844,127.110932813983
"서울특별시 관악구 과천대로 939, 르메이에르강남타운2 (남현동)",C,의원,G099,응급의료기관 이외,2,37.47437636267328,126.98143250354137
"서울특별시 강남구 도산대로67길 13-5, 1~3층 (청담동, 청담빌딩)",C,의원,G099,응급의료기관 이외,2,37.5249341234,127.0439159969
"서울특별시 노원구 동일로 1392, 5층 (상계동,노원한일빌딩)",C,의원,G099,응급의료기관 이외,2,37.653008333333332,127.061238888888894
서울특별시 영등포구 여의나루로 53-1  (여의도동),C,의원,G099,응급의료기관 이외,2,37.5227019151559,126.924993896764
서울특별시 강남구 압구정로 210,C,의원,G099,응급의료기관 이외,2,37.527873696855586,127.03018894599731
서울특별시 관악구 은천로 105 (봉천동),C,의원,G099,응급의료기관 이외,2,37.487124281693745,126.94713289496008
"서울특별시 광진구 능동로 324, 3층 (중곡동)",C,의원,G099,응급의료기관 이외,2,37.55838886474383,127.08038792641487
서울특별시 송파구 양재대로 1148 (오금동),N,치과의원,G099,응급의료기관 이외,2,37.509689951769076,127.12732820042369
"서울특별시 송파구 토성로 58 (풍납동, 도원빌딩 2층)",C,의원,G099,응급의료기관 이외,2,37.52902985118917,127.11607940799975
"서울특별시 동대문구 고산자로 399, 4층 (용두동)",N,치과의원,G099,응급의료기관 이외,2,37.5752731984145,127.03785069416412
서울특별시 송파구 올림픽로 119 (잠실동),N,치과의원,G099,응급의료기관 이외,2,37.512101399914854,127.08476871127016
서울특별시 동대문구 장한로 170 (장안동),N,치과의원,G099,응급의료기관 이외,2,37.57544815165735,127.0722827711545
"서울특별시 성북구 동소문로 248, 105동 1층 (길음동, 삼부아파트 상가 11호외 31필지))",C,의원,G099,응급의료기관 이외,2,37.6034669675,127.0245562766
서울특별시 송파구 위례성대로18길 31-20 (방이동),N,치과의원,G099,응급의료기관 이외,2,37.50907470639818,127.12578040485137
서울특별시 강북구 도봉로 325 (수유동),N,치과의원,G099,응급의료기관 이외,2,37.63732315822982,127.02438484548132
"서울특별시 중랑구 망우로 247, 로얄스포츠센터 2층 (중화동)",N,치과의원,G099,응급의료기관 이외,2,37.595322966651864,127.07957612407742
"서울특별시 중랑구 망우로 247, 2층 (중화동, 로얄스포츠센타)",C,의원,G099,응급의료기관 이외,2,37.59522712885627,127.07991936744072
"서울특별시 중구 수표로 45, 9층 (저동2가, 비즈센터)",G,한의원,G099,응급의료기관 이외,2,37.565339030861644,126.98959572947926
"서울특별시 동대문구 이문로 125, 2층 (이문동)",N,치과의원,G099,응급의료기관 이외,2,37.597889291676516,127.06089467562327
"서울특별시 관악구 난곡로 226, 3층 (신림동)",N,치과의원,G099,응급의료기관 이외,2,37.4745146514,126.9172781761
"서울특별시 은평구 서오릉로 131, 5층 (역촌동, 구산빌딩)",C,의원,G099,응급의료기관 이외,2,37.61046096857265,126.91790263467634
"서울특별시 은평구 통일로 901, 3층 (갈현동)",N,치과의원,G099,응급의료기관 이외,2,37.6234728927,126.9195692265
"서울특별시 관악구 난곡로 53, 406호 (신림동, 관악산휴먼시아상가)",N,치과의원,G099,응급의료기관 이외,2,37.460222432388804,126.91932845644767
"서울특별시 강남구 압구정로30길 23, 6층 604호 (신사동)",C,의원,G099,응급의료기관 이외,2,37.52589006358959,127.02949491233391
서울특별시 광진구 광나루로 506 (구의동),C,의원,G099,응급의료기관 이외,2,37.5447188169,127.0856644719
"서울특별시 강남구 테헤란로26길 10, 성보빌딩 3층 (역삼동)",N,치과의원,G099,응급의료기관 이외,2,37.4996330482,127.0358401868
"서울특별시 성북구 성북로4길 52, 417동 2층 1211호 (돈암동)",C,의원,G099,응급의료기관 이외,2,37.594524763232904,127.011313878132
"서울특별시 종로구 율곡로2길 19, 2층 (수송동, 수송타워빌딩)",C,의원,G099,응급의료기관 이외,2,37.5744732583223,126.981094789014
"서울특별시 강북구 솔샘로 184, 210호 (미아동, SK북한산시티아파트상가 )",C,의원,G099,응급의료기관 이외,2,37.6199569219,127.0128494705
"서울특별시 강북구 도봉로 320 (번동, 제이제이타워)",N,치과의원,G099,응급의료기관 이외,2,37.63652961057041,127.02457168532652
"서울특별시 구로구 도림로 90, 혜성빌딩 5층 (구로동)",C,의원,G099,응급의료기관 이외,2,37.4903785244,126.8934289824
서울특별시 중랑구 용마산로 503,N,치과의원,G099,응급의료기관 이외,2,37.5961111828,127.0999184774
"서울특별시 노원구 노해로 466 (상계동, NH농협증권)",N,치과의원,G099,응급의료기관 이외,2,37.653841085874404,127.05988868413945
"서울특별시 영등포구 양평로 22, 당산타워 7층 (당산동6가)",C,의원,G099,응급의료기관 이외,2,37.53315639214069,126.9039353831975
"서울특별시 노원구 월계로45길 21, 205호 (월계동, 롯데캐슬루나상가)",N,치과의원,G099,응급의료기관 이외,2,37.62653935216445,127.05086643726521
"서울특별시 송파구 중대로 146, 3층 (가락동)",N,치과의원,G099,응급의료기관 이외,2,37.495147643885275,127.12401959936
"서울특별시 강남구 삼성로 651, 5층 502,503,504호 (삼성동, 래미안 라클래시)",C,의원,G099,응급의료기관 이외,2,37.517402357616156,127.05132293435322
"서울특별시 강서구 강서로 163, 3층 (화곡동, 콤마빌딩)",N,치과의원,G099,응급의료기관 이외,2,37.54123979145507,126.84034727642559
"서울특별시 구로구 디지털로 288, 대륭포스트타워1차 211호 (구로동)",C,의원,G099,응급의료기관 이외,2,37.48386811366677,126.89548983236762
"서울특별시 서대문구 신촌로 79, 3층 (창천동)",N,치과의원,G099,응급의료기관 이외,2,37.55600178931821,126.93518740420163
서울특별시 서대문구 충정로 8 (충정로3가),N,치과의원,G099,응급의료기관 이외,2,37.559722826997756,126.96318112222522
"서울특별시 도봉구 덕릉로 240, 2층 (창동, 성원빌딩)",N,치과의원,G099,응급의료기관 이외,2,37.63907197305403,127.03879736875164
서울특별시 영등포구 영신로34길 1 (영등포동4가),N,치과의원,G099,응급의료기관 이외,2,37.520151036092486,126.90139556792789
"서울특별시 금천구 시흥대로 368, 2층 (독산동)",N,치과의원,G099,응급의료기관 이외,2,37.466221630567,126.89814175403052
"서울특별시 서대문구 모래내로24가길 30, 1,2층 (홍제동)",N,치과의원,G099,응급의료기관 이외,2,37.5839448009,126.9449360321
"서울특별시 중랑구 신내로 211, 202호 (신내동, 금강리빙스텔)",N,치과의원,G099,응급의료기관 이외,2,37.6163497188,127.0926693733
서울특별시 노원구 동일로227길 26,N,치과의원,G099,응급의료기관 이외,2,37.66897724785984,127.05473463454285
서울특별시 송파구 중대로9길 41,N,치과의원,G099,응급의료기관 이외,2,37.4967860604,127.1183725967
서울특별시 서대문구 수색로 56,N,치과의원,G099,응급의료기관 이외,2,37.5708141022,126.9127073134
서울특별시 도봉구 도봉로 618 (창동),N,치과의원,G099,응급의료기관 이외,2,37.65928066867297,127.04186250819625
"서울특별시 강북구 솔샘로 233 (미아동, 동북프라자)",N,치과의원,G099,응급의료기관 이외,2,37.62024804416009,127.01879854043376
서울특별시 강북구 도봉로 255,N,치과의원,G099,응급의료기관 이외,2,37.63115626640828,127.02391286611551
서울특별시 강서구 수명로 72,N,치과의원,G099,응급의료기관 이외,2,37.55240529224495,126.82612963213151
"서울특별시 동작구 사당로 234, 4층 (사당동)",N,치과의원,G099,응급의료기관 이외,2,37.48323720460538,126.9736198258169
"서울특별시 동작구 노량진로 152-1, 3층 (노량진동)",N,치과의원,G099,응급의료기관 이외,2,37.513456893248914,126.94285686933502
"서울특별시 강남구 도산대로 509, 에스디바이오센서 3층 (청담동)",C,의원,G099,응급의료기관 이외,2,37.5247547367862,127.0489503812
"서울특별시 관악구 관악로 183, 2,3층 (봉천동)",N,치과의원,G099,응급의료기관 이외,2,37.48167365854411,126.95250039599262
"서울특별시 강남구 강남대로 246, 다림빌딩 6층 (도곡동)",N,치과의원,G099,응급의료기관 이외,2,37.48551859904753,127.03402154926742
"서울특별시 은평구 연서로 265, 3층 (불광동)",G,한의원,G099,응급의료기관 이외,2,37.62050982563635,126.92407157799575
"서울특별시 서초구 서초중앙로 230, 4층 (반포동, 반포동화프라자)",C,의원,G099,응급의료기관 이외,2,37.50215708569999,127.01202403439999
서울특별시 서대문구 연희로 407 (홍은동),N,치과의원,G099,응급의료기관 이외,2,37.59141016555833,126.94068677592928
"서울특별시 광진구 능동로 302, 3층 (능동)",G,한의원,G099,응급의료기관 이외,2,37.5565941097975,127.079543523196
"서울특별시 마포구 마포대로 52 (도화동, 고려아카데미텔Ⅱ)",C,의원,G099,응급의료기관 이외,2,37.54033464446809,126.94765334918227
"서울특별시 마포구 마포대로 52, 2층 207호 (도화동, 고려아카데미텔2)",C,의원,G099,응급의료기관 이외,2,37.5403382601404,126.947662908645
"서울특별시 송파구 충민로 66, 가든파이브라이프 제지1층 제에프-비1069호 (문정동)",N,치과의원,G099,응급의료기관 이외,2,37.47761304099999,127.1249628964
"서울특별시 마포구 마포대로 52, 2층 202호 (도화동, 고려아카데미텔2)",C,의원,G099,응급의료기관 이외,2,37.54034545018143,126.94763976345718
"서울특별시 마포구 마포대로 52, 201호 (도화동, 고려아카데미텔Ⅱ)",C,의원,G099,응급의료기관 이외,2,37.54030937536326,126.94756284772184
"서울특별시 마포구 마포대로 52, 204호 (도화동, 고려아카데미텔)",N,치과의원,G099,응급의료기관 이외,2,37.5403378088,126.9476610986
"서울특별시 송파구 충민로 52, 지하1층 1081호 (문정동)",N,치과의원,G099,응급의료기관 이외,2,37.47768731622666,127.1224769553592
"서울특별시 중구 명동8가길 27, 4층 (충무로2가, 선샤인빌딩)",N,치과의원,G099,응급의료기관 이외,2,37.562001433999995,126.98656288190001
"서울특별시 서초구 남부순환로315길 104, 성누가의원 2층 (서초동)",G,한의원,G099,응급의료기관 이외,2,37.48402924476111,126.87946609302521
"서울특별시 송파구 양재대로 932, 가락동 농수산물도매시장 가락몰업무동 5층 16호 (가락동)",G,한의원,G099,응급의료기관 이외,2,37.49510148344201,127.11560255325149
"서울특별시 송파구 중대로 68, 4층 405호 (문정동, 훼미리 샤르망)",C,의원,G099,응급의료기관 이외,2,37.4915657496,127.1164375286
"서울특별시 송파구 가락로 176, 2층 (송파동, 경진빌딩)",N,치과의원,G099,응급의료기관 이외,2,37.50423861231842,127.11455788480954
"서울특별시 송파구 양재대로 932, 가락시장 업무동 5층 17호 (가락동, 가락동 농수산물도매시장)",N,치과의원,G099,응급의료기관 이외,2,37.49499344665396,127.11551644727905
"서울특별시 송파구 송파대로 284, 205호 (가락동, 소석빌딩)",C,의원,G099,응급의료기관 이외,2,37.49480132393273,127.11728840292281
"서울특별시 송파구 송파대로36가길 22 (송파동, 지하1,2,3,4,5층)",C,의원,G099,응급의료기관 이외,2,37.49956664352578,127.11579933361449
"서울특별시 송파구 송파대로 278, 2층 (가락동)",N,치과의원,G099,응급의료기관 이외,2,37.4942819041,127.1177308679
"서울특별시 송파구 양재대로 932, 관리업무동 5층 505호 (가락동, 가락동 농수산물도매시장)",C,의원,G099,응급의료기관 이외,2,37.495076264237014,127.11559346839296
서울특별시 송파구 송파대로 288 (가락동),G,한의원,G099,응급의료기관 이외,2,37.49498269715891,127.11700826373145
"서울특별시 강동구 아리수로50길 50, 4층 11호 (고덕동, 래미안힐스테이트고덕)",C,의원,G099,응급의료기관 이외,2,37.55768841539139,127.14860102726246
"서울특별시 관악구 시흥대로 552, 석천빌딩 7층 (신림동)",C,의원,G099,응급의료기관 이외,2,37.4821208740528,126.901415809881
